,pid,model,align_condition,lr_sup,lr_unsup,lr,lam_a_cyc,lam_dist,hidden_size,alpha,temp,s,loss
70,_1xiem3294,euclidean,aligned,,,0.1258925411794167,,,100,0.8636579895168859,0.6000000000000001,30,45.5935764248681
71,_1xiem3294,discrete,aligned,,,0.0019952623149688,,,100,0.7739201985473412,1.2000000000000002,30,54.0917138514926
72,_1zd9ln96s,cycle_and_distribution,aligned,,,0.1258925411794167,1.308695758357932,0.0057185841214352,100,0.7517113801560296,0.2,30,18.58562042523672
73,_1zd9ln96s,euclidean,aligned,,,0.1258925411794167,,,100,0.9568373983544676,0.4,30,34.86362011377699
74,_1zd9ln96s,discrete,aligned,,,0.001,,,100,0.8987323215689975,1.0,30,53.02095040858047
75,_24xatlt1z,cycle_and_distribution,aligned,,,0.1258925411794167,0.8208358504734146,0.0012404943019465,100,0.8791908527188947,0.3,30,33.55199197761687
76,_24xatlt1z,euclidean,aligned,,,0.0079432823472428,,,100,0.9404613394940916,0.3,30,41.168306449265145
77,_24xatlt1z,discrete,aligned,,,0.0039810717055349,,,100,0.1994427469162289,1.2000000000000002,30,48.17731309647586
78,_2b2f80z25,cycle_and_distribution,aligned,,,0.1258925411794167,1.1988118763323934,0.0033181984136224,100,0.4337813717882591,0.5,30,51.0131226541764
79,_2b2f80z25,euclidean,aligned,,,0.0316227766016837,,,100,0.3304523940827334,0.3,30,50.777408415590656
80,_2b2f80z25,discrete,aligned,,,0.001,,,100,0.5651559079543336,1.2000000000000002,30,53.30092958931679
81,_2b49kkfgm,cycle_and_distribution,aligned,,,0.0630957344480193,0.8403454513586155,0.0019756401474073,100,0.7970767270380993,0.2,30,18.494546020609874
82,_2b49kkfgm,euclidean,aligned,,,0.0316227766016837,,,100,0.7836129321849973,0.4,30,36.64383722130989
83,_2b49kkfgm,discrete,aligned,,,0.0019952623149688,,,100,0.6318843469209957,1.3,30,50.73857490504717
84,_2cnmmydem,cycle_and_distribution,aligned,,,0.0316227766016837,1.120253200967309,0.0023862451937965,100,0.943757775351557,0.3,30,32.35837949843837
85,_2cnmmydem,euclidean,aligned,,,0.0158489319246111,,,100,0.6133461727818905,0.3,30,38.44296895872024
86,_2cnmmydem,discrete,aligned,,,0.001,,,100,0.2285217844628495,0.6000000000000001,30,51.36681467313653
